,date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
0,2019-01-01 00:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-18,-14,-18,10,98,98,0.0,1039,-14,0,79,5,Dzhezkazgan
1,2019-01-01 01:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-19,-14,-19,12,99,98,0.0,1039,-14,0,78,7,Dzhezkazgan
2,2019-01-01 02:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-19,-14,-19,15,99,98,0.0,1039,-14,0,77,8,Dzhezkazgan
3,2019-01-01 03:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-19,-14,-19,17,100,98,0.0,1039,-14,0,76,9,Dzhezkazgan
4,2019-01-01 04:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-20,-14,-20,18,100,98,0.0,1039,-14,3,75,10,Dzhezkazgan
5,2019-01-01 05:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-20,-14,-20,20,100,98,0.0,1039,-14,7,75,10,Dzhezkazgan
6,2019-01-01 06:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-20,-14,-20,21,100,98,0.0,1039,-14,10,74,11,Dzhezkazgan
7,2019-01-01 07:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-15,-21,-15,-21,22,97,98,0.0,1039,-15,7,71,11,Dzhezkazgan
8,2019-01-01 08:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-16,-22,-15,-22,23,94,98,0.0,1039,-15,3,68,12,Dzhezkazgan
9,2019-01-01 09:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-16,-23,-16,-23,24,91,98,0.0,1038,-16,0,65,12,Dzhezkazgan
10,2019-01-01 10:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-16,-23,-15,-23,24,88,97,0.0,1038,-15,3,62,12,Dzhezkazgan
11,2019-01-01 11:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-15,-22,-15,-22,23,86,96,0.0,1038,-15,7,60,13,Dzhezkazgan
12,2019-01-01 12:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-15,-22,-14,-22,22,84,95,0.0,1037,-14,10,58,14,Dzhezkazgan
13,2019-01-01 13:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-15,-21,-14,-21,21,74,94,0.0,1037,-14,10,55,14,Dzhezkazgan
14,2019-01-01 14:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-21,-13,-21,21,64,93,0.0,1036,-13,10,53,14,Dzhezkazgan
15,2019-01-01 15:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-14,-20,-13,-20,21,53,92,0.0,1036,-13,10,50,14,Dzhezkazgan
16,2019-01-01 16:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-15,-21,-14,-21,24,69,92,0.0,1036,-14,10,49,14,Dzhezkazgan
17,2019-01-01 17:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-15,-22,-14,-22,26,84,91,0.0,1035,-14,10,48,14,Dzhezkazgan
18,2019-01-01 18:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-16,-22,-15,-22,29,100,91,0.0,1035,-15,10,46,14,Dzhezkazgan
19,2019-01-01 19:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-17,-23,-15,-23,28,82,89,0.0,1035,-15,10,45,13,Dzhezkazgan
20,2019-01-01 20:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-17,-24,-16,-24,28,64,88,0.0,1035,-16,10,43,13,Dzhezkazgan
21,2019-01-01 21:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-18,-24,-16,-24,27,46,87,0.0,1035,-16,10,41,13,Dzhezkazgan
22,2019-01-01 22:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-18,-24,-16,-24,27,46,86,0.0,1035,-16,10,40,13,Dzhezkazgan
23,2019-01-01 23:00:00,-13,-16,0.0,3.9,1,26,04:18 AM,02:54 PM,09:18 AM,05:47 PM,-18,-24,-16,-24,26,46,85,0.0,1035,-16,10,40,12,Dzhezkazgan
0,2019-01-02 00:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,25,46,84,0.0,1035,-17,10,40,12,Dzhezkazgan
1,2019-01-02 01:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,24,37,84,0.0,1035,-17,10,39,12,Dzhezkazgan
2,2019-01-02 02:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,24,27,83,0.0,1035,-17,10,39,11,Dzhezkazgan
3,2019-01-02 03:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-25,-17,-25,23,18,83,0.0,1035,-17,10,38,11,Dzhezkazgan
4,2019-01-02 04:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-25,-17,-25,23,14,83,0.0,1035,-17,10,38,11,Dzhezkazgan
5,2019-01-02 05:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-25,-17,-25,22,10,83,0.0,1035,-17,10,37,11,Dzhezkazgan
6,2019-01-02 06:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-20,-25,-17,-25,22,5,82,0.0,1035,-17,10,36,10,Dzhezkazgan
7,2019-01-02 07:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-20,-25,-17,-25,22,7,82,0.0,1035,-17,10,34,10,Dzhezkazgan
8,2019-01-02 08:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-20,-25,-18,-25,22,9,81,0.0,1035,-18,10,31,10,Dzhezkazgan
9,2019-01-02 09:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-20,-25,-18,-25,22,11,81,0.0,1035,-18,10,29,10,Dzhezkazgan
10,2019-01-02 10:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,21,10,81,0.0,1035,-17,10,33,10,Dzhezkazgan
11,2019-01-02 11:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-18,-23,-16,-23,19,10,82,0.0,1035,-16,10,36,10,Dzhezkazgan
12,2019-01-02 12:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-17,-21,-15,-21,18,9,82,0.0,1035,-15,10,40,10,Dzhezkazgan
13,2019-01-02 13:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-17,-21,-14,-21,17,8,82,0.0,1035,-14,10,43,10,Dzhezkazgan
14,2019-01-02 14:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-16,-20,-14,-20,16,7,82,0.0,1035,-14,10,46,10,Dzhezkazgan
15,2019-01-02 15:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-16,-19,-13,-19,14,6,83,0.0,1035,-13,10,50,9,Dzhezkazgan
16,2019-01-02 16:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-17,-20,-14,-20,17,7,83,0.0,1035,-14,10,51,10,Dzhezkazgan
17,2019-01-02 17:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-18,-22,-15,-22,19,7,83,0.0,1035,-15,10,53,10,Dzhezkazgan
18,2019-01-02 18:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-23,-16,-23,22,8,83,0.0,1035,-16,10,54,10,Dzhezkazgan
19,2019-01-02 19:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-23,-17,-23,22,19,84,0.0,1035,-17,10,56,10,Dzhezkazgan
20,2019-01-02 20:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-23,-17,-23,22,30,84,0.0,1035,-17,10,57,10,Dzhezkazgan
21,2019-01-02 21:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,22,41,85,0.0,1036,-17,10,59,10,Dzhezkazgan
22,2019-01-02 22:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,23,60,85,0.0,1035,-17,10,58,11,Dzhezkazgan
23,2019-01-02 23:00:00,-13,-18,0.0,5.8,2,19,05:26 AM,03:24 PM,09:18 AM,05:48 PM,-19,-24,-17,-24,24,79,85,0.0,1035,-17,10,57,12,Dzhezkazgan
0,2019-01-03 00:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-17,-24,26,99,85,0.0,1035,-17,10,56,12,Dzhezkazgan
1,2019-01-03 01:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-17,-24,26,99,84,0.0,1035,-17,10,56,12,Dzhezkazgan
2,2019-01-03 02:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-17,-24,26,100,84,0.0,1035,-17,10,56,12,Dzhezkazgan
3,2019-01-03 03:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-16,-24,26,100,83,0.0,1036,-16,10,56,13,Dzhezkazgan
4,2019-01-03 04:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-16,-24,27,100,83,0.0,1035,-16,10,56,13,Dzhezkazgan
5,2019-01-03 05:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-16,-24,27,100,83,0.0,1035,-16,10,57,13,Dzhezkazgan
6,2019-01-03 06:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-16,-24,28,100,82,0.0,1035,-16,10,57,13,Dzhezkazgan
7,2019-01-03 07:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-16,-24,28,100,82,0.0,1035,-16,10,56,13,Dzhezkazgan
8,2019-01-03 08:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-24,-17,-24,27,100,81,0.0,1035,-17,10,55,13,Dzhezkazgan
9,2019-01-03 09:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-19,-25,-17,-25,27,100,81,0.0,1035,-17,10,54,13,Dzhezkazgan
10,2019-01-03 10:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-18,-24,-16,-24,25,100,81,0.0,1035,-16,10,55,13,Dzhezkazgan
11,2019-01-03 11:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-18,-23,-15,-23,23,100,80,0.0,1035,-15,10,57,14,Dzhezkazgan
12,2019-01-03 12:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-17,-22,-14,-22,22,100,80,0.0,1034,-14,10,58,14,Dzhezkazgan
13,2019-01-03 13:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-16,-21,-14,-21,21,100,80,0.0,1034,-14,10,58,14,Dzhezkazgan
14,2019-01-03 14:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-16,-21,-13,-21,21,100,81,0.0,1034,-13,10,58,15,Dzhezkazgan
15,2019-01-03 15:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-15,-20,-13,-20,21,100,82,0.0,1034,-13,10,59,15,Dzhezkazgan
16,2019-01-03 16:00:00,-13,-17,0.0,2.1,1,11,06:31 AM,03:58 PM,09:18 AM,05:49 PM,-16,-21,-14,-21,23,100,82,0.0,1034,-14,10,56,15,Dzhezkazgan
