,date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
0,2019-01-01 00:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,7,7,9,7,30,94,86,0.0,1017,9,10,264,9,Jambyl_Region
1,2019-01-01 01:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,7,6,9,6,28,78,87,0.0,1018,9,10,274,9,Jambyl_Region
2,2019-01-01 02:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,6,6,8,6,26,63,88,0.0,1019,8,10,284,10,Jambyl_Region
3,2019-01-01 03:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,6,5,7,5,23,47,89,0.0,1020,7,10,294,10,Jambyl_Region
4,2019-01-01 04:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,5,4,7,4,21,41,90,0.0,1021,7,10,301,9,Jambyl_Region
5,2019-01-01 05:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,5,4,6,4,19,34,91,0.0,1022,6,10,309,8,Jambyl_Region
6,2019-01-01 06:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,3,5,3,17,28,92,0.0,1023,5,10,317,7,Jambyl_Region
7,2019-01-01 07:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,4,6,4,15,46,89,0.0,1023,6,10,325,8,Jambyl_Region
8,2019-01-01 08:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,5,5,7,5,14,63,86,0.0,1023,7,10,332,8,Jambyl_Region
9,2019-01-01 09:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,5,6,7,6,13,81,83,0.0,1024,7,10,340,8,Jambyl_Region
10,2019-01-01 10:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,5,6,8,6,12,85,82,0.0,1024,8,10,345,9,Jambyl_Region
11,2019-01-01 11:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,5,6,8,6,11,90,80,0.0,1024,8,10,350,9,Jambyl_Region
12,2019-01-01 12:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,7,8,7,10,95,78,0.0,1024,8,10,355,9,Jambyl_Region
13,2019-01-01 13:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,6,8,6,10,96,79,0.0,1024,8,10,350,10,Jambyl_Region
14,2019-01-01 14:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,6,7,6,10,96,79,0.0,1025,7,10,346,11,Jambyl_Region
15,2019-01-01 15:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,5,7,5,9,97,79,0.0,1025,7,10,342,11,Jambyl_Region
16,2019-01-01 16:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,4,5,7,5,10,97,81,0.0,1025,7,10,340,10,Jambyl_Region
17,2019-01-01 17:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,4,6,4,10,96,83,0.0,1026,6,10,339,9,Jambyl_Region
18,2019-01-01 18:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,4,6,4,10,95,85,0.0,1026,6,10,337,7,Jambyl_Region
19,2019-01-01 19:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,4,6,4,11,97,85,0.0,1026,6,10,338,7,Jambyl_Region
20,2019-01-01 20:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,3,5,3,11,98,86,0.0,1026,5,10,339,6,Jambyl_Region
21,2019-01-01 21:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,3,5,3,11,100,86,0.0,1026,5,10,339,6,Jambyl_Region
22,2019-01-01 22:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,3,5,3,11,97,88,0.0,1026,5,10,338,6,Jambyl_Region
23,2019-01-01 23:00:00,8,5,0.0,3.5,2,26,03:46 AM,02:44 PM,08:00 AM,05:39 PM,3,3,5,3,11,94,89,0.0,1026,5,10,338,6,Jambyl_Region
0,2019-01-02 00:00:00,6,2,0.0,3.5,1,19,04:46 AM,03:21 PM,08:00 AM,05:40 PM,3,3,4,3,12,92,90,0.0,1026,4,10,337,6,Jambyl_Region
1,2019-01-02 01:00:00,6,2,0.0,3.5,1,19,04:46 AM,03:21 PM,08:00 AM,05:40 PM,2,2,4,2,11,88,87,0.0,1026,3,10,338,6,Jambyl_Region
2,2019-01-02 02:00:00,6,2,0.0,3.5,1,19,04:46 AM,03:21 PM,08:00 AM,05:40 PM,1,1,3,1,11,83,84,0.0,1025,3,10,338,7,Jambyl_Region
3,2019-01-02 03:00:00,6,2,0.0,3.5,1,19,04:46 AM,03:21 PM,08:00 AM,05:40 PM,-0,1,3,1,10,79,81,0.0,1025,2,10,339,7,Jambyl_Region
4,2019-01-02 04:00:00,6,2,0.0,3.5,1,19,04:46 AM,03:21 PM,08:00 AM,05:40 PM,0,1,3,1,10,73,82,0.0,1025,2,10,344,7,Jambyl_Region
5,2019-01-02 05:00:00,6,2,0.0,3.5,1,19,04:46 AM,03:21 PM,08:00 AM,05:40 PM,1,2,3,2,10,67,82,0.0,1025,3,10,349,6,Jambyl_Region
