,date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
0,2019-01-01 00:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,31,8,77,0.0,1027,1,10,37,17,South_Kazakhstan_Region
1,2019-01-01 01:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,31,13,78,0.0,1027,1,10,36,17,South_Kazakhstan_Region
2,2019-01-01 02:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,32,19,78,0.0,1027,1,10,35,17,South_Kazakhstan_Region
3,2019-01-01 03:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,32,24,79,0.0,1026,1,10,35,17,South_Kazakhstan_Region
4,2019-01-01 04:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,30,45,78,0.0,1026,1,10,33,16,South_Kazakhstan_Region
5,2019-01-01 05:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,29,67,78,0.0,1026,1,10,31,16,South_Kazakhstan_Region
6,2019-01-01 06:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-4,1,-4,27,88,77,0.0,1025,1,10,29,15,South_Kazakhstan_Region
7,2019-01-01 07:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-3,1,-3,26,89,76,0.0,1025,1,10,27,15,South_Kazakhstan_Region
8,2019-01-01 08:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-3,1,-3,25,89,75,0.0,1024,1,10,26,14,South_Kazakhstan_Region
9,2019-01-01 09:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-3,1,-3,23,90,74,0.0,1024,1,10,25,13,South_Kazakhstan_Region
10,2019-01-01 10:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-2,2,-2,22,93,73,0.0,1024,2,7,24,13,South_Kazakhstan_Region
11,2019-01-01 11:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-2,2,-2,20,96,71,0.2,1024,2,5,23,13,South_Kazakhstan_Region
12,2019-01-01 12:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,-1,3,-1,19,99,70,0.2,1023,3,2,22,13,South_Kazakhstan_Region
13,2019-01-01 13:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,-1,3,-1,17,100,69,0.1,1023,3,2,25,12,South_Kazakhstan_Region
14,2019-01-01 14:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,-0,3,-0,15,100,68,0.2,1023,3,2,27,11,South_Kazakhstan_Region
15,2019-01-01 15:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,0,4,0,14,100,68,0.2,1023,4,2,29,10,South_Kazakhstan_Region
16,2019-01-01 16:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,0,3,0,13,100,71,0.1,1023,3,4,130,9,South_Kazakhstan_Region
17,2019-01-01 17:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-1,0,3,0,13,100,74,0.5,1023,3,7,232,9,South_Kazakhstan_Region
18,2019-01-01 18:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-1,0,3,0,12,100,77,0.7,1023,3,9,333,8,South_Kazakhstan_Region
19,2019-01-01 19:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-1,-0,2,-0,11,99,77,0.4,1024,2,7,333,7,South_Kazakhstan_Region
20,2019-01-01 20:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,-0,2,-0,10,98,76,0.2,1024,2,4,333,7,South_Kazakhstan_Region
21,2019-01-01 21:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,-1,2,-1,9,97,75,0.2,1025,2,2,333,6,South_Kazakhstan_Region
22,2019-01-01 22:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-2,-1,1,-1,11,98,76,0.1,1025,1,2,317,6,South_Kazakhstan_Region
23,2019-01-01 23:00:00,4,1,0.0,4.8,2,26,04:07 AM,03:05 PM,08:55 AM,06:07 PM,-3,-2,1,-2,12,98,76,0.2,1026,1,2,301,7,South_Kazakhstan_Region
0,2019-01-02 00:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-3,-2,0,-2,13,99,76,0.2,1026,0,2,285,7,South_Kazakhstan_Region
1,2019-01-02 01:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-4,-3,-0,-3,13,83,76,0.1,1026,-0,5,284,7,South_Kazakhstan_Region
2,2019-01-02 02:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-4,-3,-1,-3,12,67,77,0.0,1027,-1,7,284,7,South_Kazakhstan_Region
3,2019-01-02 03:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-4,-1,-4,12,51,78,0.0,1027,-1,10,284,6,South_Kazakhstan_Region
4,2019-01-02 04:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-4,-1,-4,10,44,78,0.0,1028,-1,10,275,6,South_Kazakhstan_Region
5,2019-01-02 05:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-3,-1,-3,9,36,79,0.0,1028,-1,10,266,5,South_Kazakhstan_Region
6,2019-01-02 06:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-3,-2,-3,7,29,80,0.0,1028,-2,10,257,4,South_Kazakhstan_Region
7,2019-01-02 07:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-3,-2,-3,6,24,79,0.0,1028,-2,10,283,3,South_Kazakhstan_Region
8,2019-01-02 08:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-2,-2,-2,5,19,78,0.0,1029,-2,10,308,3,South_Kazakhstan_Region
9,2019-01-02 09:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-2,-2,-2,3,14,77,0.0,1029,-2,10,333,2,South_Kazakhstan_Region
10,2019-01-02 10:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,-1,-1,-1,3,21,73,0.0,1029,-1,10,294,2,South_Kazakhstan_Region
11,2019-01-02 11:00:00,4,-2,0.0,8.2,1,19,05:11 AM,03:38 PM,08:56 AM,06:08 PM,-5,0,0,0,3,29,69,0.0,1029,0,10,255,2,South_Kazakhstan_Region
