,date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
0,2019-01-01 00:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-16,-18,-16,-18,7,100,98,0.0,1034,-16,0,34,3,west_kazakhstan_region
1,2019-01-01 01:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-16,-19,-16,-19,7,97,98,0.0,1034,-16,0,64,3,west_kazakhstan_region
2,2019-01-01 02:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-17,-20,-17,-20,7,95,98,0.0,1034,-17,0,94,3,west_kazakhstan_region
3,2019-01-01 03:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-17,-20,-17,-20,8,92,99,0.0,1034,-17,0,124,4,west_kazakhstan_region
4,2019-01-01 04:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-17,-20,-17,-20,8,95,99,0.0,1034,-17,0,201,4,west_kazakhstan_region
5,2019-01-01 05:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-17,-19,-16,-19,8,97,99,0.0,1034,-16,0,278,4,west_kazakhstan_region
6,2019-01-01 06:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-16,-19,-16,-19,8,100,99,0.0,1034,-16,0,356,4,west_kazakhstan_region
7,2019-01-01 07:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-16,-18,-16,-18,8,100,98,0.0,1033,-16,1,321,4,west_kazakhstan_region
8,2019-01-01 08:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-15,-16,-15,-16,7,100,97,0.0,1033,-15,1,287,4,west_kazakhstan_region
9,2019-01-01 09:00:00,-10,-17,0.4,2.0,1,26,04:26 AM,02:47 PM,09:32 AM,05:31 PM,-15,-15,-15,-15,7,100,97,0.0,1033,-15,2,253,4,west_kazakhstan_region
